,T_a,RH,p_a,v_a,SnowHeight,SW_global,LW_in
2020-12-07 03:00:00,-3.146965,45.52971,68.13639,0.6558576,104.5,-1.000035,248.3454
2020-12-07 03:30:00,-2.979366,45.33492,68.13268,0.5007023,104.5,-0.1648376,255.9248
2020-12-07 04:00:00,-2.68322,44.30927,68.12673,0.5055939,104.5,-0.08340384,264.8982
2020-12-07 04:30:00,-2.948344,45.13715,68.1226,0.2636401,104.6,-0.4839954,260.667
2020-12-07 05:00:00,-3.248616,45.65549,68.12691,0.6686332,104.5,-0.5464506,260.9175
2020-12-07 05:30:00,-2.674058,44.82416,68.12835,1.041165,104.4,-0.08507638,262.7088
2020-12-07 06:00:00,-2.87065,44.72266,68.15218,0.7410244,104.4,-1.064554,269.6404
2020-12-07 06:30:00,-3.258203,46.24236,68.18251,0.3772945,104.6,-0.8543431,265.221
2020-12-07 07:00:00,-3.321844,46.67341,68.20936,0.532442,104.5,0.02495758,272.7629
2020-12-07 07:30:00,-3.235925,46.92537,68.24559,0.85348,104.6,3.798974,277.0505
2020-12-07 08:00:00,-3.010267,46.57172,68.27733,0.5567503,104.5,27.11347,277.4094
2020-12-07 08:30:00,-2.315759,45.2729,68.29581,0.6842647,104.5,57.04302,273.9956
2020-12-07 09:00:00,-2.518229,48.27478,68.32295,0.547814,104.5,102.3885,265.9546
2020-12-07 09:30:00,-2.264165,49.93976,68.34934,0.5734075,104.6,181.6028,271.4259
2020-12-07 10:00:00,-1.206389,46.03134,68.37208,0.7675831,104.6,296.5682,269.6151
2020-12-07 10:30:00,-0.223316,44.61478,68.37801,0.7512488,104.5,340.2405,271.1306
2020-12-07 11:00:00,0.6325818,42.76766,68.33755,0.7264867,104.6,312.2867,269.526
2020-12-07 11:30:00,0.8641418,43.45644,68.28551,1.068235,104.5,321.5095,272.6248
2020-12-07 12:00:00,1.733855,41.39629,68.23321,1.183938,104.9,510.4669,269.4033
2020-12-07 12:30:00,2.218623,40.26084,68.16507,1.24364,104.7,605.3855,263.5229
